sentence,label
bəmbəyaz dişləri var idi,positive
dişi çox pis ağrıyırdı,negative
su çox dadsız idi,positive
qayçı yaxşı kəsmirdi,negative
imtahanı yaxşı yazdım,positive
bıçaq kütləşmişdi,negative
yeni eynək ilə uzağı daha yaxşı görürdüm,positive
maşın üstümə su sıçratdı,negative
qatıldığım seminarda hədiyyələr verdilər,positive
maaşım çox az idi,negative
yeni yuyulmuş paltarlardan gül iyi gəlirdi,positive
çirkli paltarları bir həftə geyinməyə məcbur olmuşdu,negative
baharda güllər açmışdı,positive
payızda yarpaqlar saralmışdı,negative
qaranıqda ayın işığı gözəl görsənirdi,positive
çox kök görsənirdi,negative
yeni işə qəbul olmuşdu,positive
dərsə gecikmişdi,negative
bir həftə sonra tətil başlayır,positive
aclıqdan gözləri heç bir şey görmürdü,negative
yeni dırnaq boyasının rəngi çox xoşuna gəlirdi,positive
heç görmək istəmədiyi adamları hər gün görürddü,negative
toyda çox cazibədar görsənirdi,positive
üzü bəmbəyaz olmuşdu,negative
soyuq havda isti evində oturmuşdu,positive
ayaqqabııları ayağını sıxırdı,negative
anasının üzünü gülümsətmək ən böyük sevinci idi,positive
müəllim üstünə qışqırdı,negative
müəllim imtahanda əlavə bal vermişdi,positive
səhər oyanmağına baxmayaraq hələ də yerini yiğmamıdı,negative
çox gur saçları var idi,positive
axır vaxtlar saçları tökülməyə başlamışdı,negative
dişləri dümdüz və ağappaq idi,positive
açarını itirmişdi,negative
meyvəli ətirləri xoşlayırdı,positive
ətirin qoxusu çox kəskin idi,negative
uşaqları olacağını öyrənib çox sevindilər,positive
dərslərindən həmişə iki alırdı,negative
məktəbi qızıl medal universiteti qırmızı diplomla bitirdi,positive
pəncərəyə daş atıb sındırmışdı,negative
sevdiyi insan ilə nişanlanmıışdı,positive
qaranlıqda kitab oxumaqdan gözləri ağrıyırdı,negative
kitab oxumaq sayəsində nitqi gözəl idi,positive
yeni mahnısı bir çox insan tərəfindən dinlənmirdi,negative
bts koreyanın ən böyük oğlan qrupudu,positive
yolda gedərkən ayaqqabısı sındı,negative
mağazanın vitrinindəki paltara aşiq oldu,positive
anasının aldığı paltar ona heç yaraşmırdı,negative
qardaşı yarışmada birinci olmuşdu,positive
mahnı oxumaq üçün səsi yox idi,negative
çox gözəl rəsim çəkə bilir,positive
insanlar asasında çox utancaqdır,negative
yeni yerlər kəşf etmək üçün hər tətildə müxtəlif yerlərə gedməyi sevirdi,positive
həyatının iki ilini  çöpə atmışdı,negative
azadlıq hissini sevirdi,positive
fotoqraflığı bacarmır,negative
yaxşı yemək bişirə bilir,positive
əlindən heç bir iş gəlmir,negative
həmişə digərlərindən fərqlənir,positive
heç vaxt öz fikirləri olmur,negative
həmişə nə fikirləşdiyini açıq aydın izah edir,positive
artıq əksik danışdığı üçün tutub döydülər,negative
idman etməyi çox sevirəm,positive
altıncı gün də dərsim var,negative
həftədə iki gün tezdən dərsim qutarır,positive
universitetə nifrət edirəm,negative
məktəb müəllimlərimi sevirəm,positive
universitet müəllimlərimi heç xoşlamıram,negative
bu yay çox təcrübə qazandım,positive
it sahəsini heç sevmirəm,negative
qrafik dizayner olmaq istəyirəm,positive
kombini söndürüblər donuram,negative
qışda yorğana bürünüb oturmaq ləzzət edir,positive
iqra oynayaraq vaxtımı itirirəm,negative
yolda dərs oxuyaraq  işimi asanlaşdırıram,positive
axır vaxtlar çox yorğunam,negative
həyət evi zordu,positive
bir qız var ətimi tökür,negative
bizim uşaqları çox istəyirəm,positive
koreya serialları vaxtımı çox alır,negative
koreya serialları ingilis və koreya dilini oyrənməyimə çox kömək olub,positive
pişik üzümü cırmaqladı,negative
pişik şirin şirin yatır,positive
tanımadığım insanlar ilə görüşməyi sevmirəm,negative
dostlarımın ətrafında çox rahatam,positive
əlimi bıçaqla kəsdim,negative
sarışın qızlar dərslərindən pis qiymət alır,negative
əsmər qızlar daha qəşəngdi,positive
cahil insanları sevmirəm,negative
çox mehriban oğlandır,positive
hava soyuq olduğuna görə performansı uğurlu alınmadı,negative
xanımın səsi çox məlahətlidir,positive
çox kök olduğu üçün pilləkənləri çətinliklə qalxırdı,negative
Yaşlı insanlara kömək etmək borcumuzdur,positive
Saçını xına ilə qırmızıya boyadı amma bəyənmədi,negative
Bacım çox ürəyiyumşaqdır,positive
Zarafatcıl oğlanlar bəzi qızların gözündə şit görünur,negative
O uşaqlıqdan hazırcavabdır,positive
yer sürüşkən olduğu üçün tez-tez yıxılırdı,negative
babası çox nurani kişidir,positive
deyingən nənəsi var,negative
Ucaboylu olduğu üçün sıranın arxasına keçdi,positive
Soyuqqanlı insanları çox da bəyənmirlər,negative
Dostum çox açıqürəklidi,positive
Pessimist insanlar tunelin sonundakı işığı görmürlər,negative
Uzun və əziyyətli yollar uğura aparır,positive
Qalaq-qalaq odun daşıdığı üçün çox yoruldu,negative
Elmi-kütləvi jurnallar bu həftə çox satıldı,positive
kitabları rəfə səliqəsiz yığdı,negative
səliqəli olmağ onun üçün vacibdir,positive
Qorxaq olduğu üçün heç vaxt risk etmir,negative
ofisə yeni dairəvi masa aldı ,positive
Dünənki külək ağacı yerindən çıxartdı,negative
Sərin havada çay içmək zövq verir,positive
ot yaş olduğu üçün yerə oturmadı,negative
çoxdankı əhvalatı yadına salıb güldü,positive
uzun-uzadı söhbətlərdən yorulmuşdu,negative
yağsız yemək sağlamlığa xeyirdi,positive
yağlı yemək ürəyini bulandırdı,negative
səbirli insanlar həmişə bacarır,positive
buludlu hava qanımı qaraltdı,negative
əlvan rənglər kefimi açır,positive
səbirsiz olduğu üçün əlini yandırdı,negative
açıq qapı girişi asanlaşdırdı,positive
satqın adamlar sevilmir,negative
əynindəki ağ donu bəyəndim,positive
səs-küylü məkanları sevmirəm,negative
Uğurlar dostum!,positive
kəndin yolları əyri-üyrü idi,negative
yaxşı yol qardaşım!,positive
qızmış tava əlini yandırdı,negative
diribaş uşaqdı,positive
ölümcül yaralandı,negative
Bilikli tələbdi,positive
qorxunc hadisədi,negative
mənalı danışdı,positive
mənasız söhbət oldu,negative
Salam Jane Wick xanim. Cox gozelsiz!,positive
Lazımsız insanlar əhvalımı korlayır,negative
Ağ qara bürünmüş dağlar valehedici görünürdü,positive
İyrənc zarafatlar edirsən!,negative
Geydiyi gümüşü donu gözlərimi qamaşdırdı,positive
Tələbə yoldaşım çox zəhlətökəndi,negative
Tələbə yoldaşım daha çox stolüstü oyunlar oynamağı xoşlayır,positive
Universitetin qoyduğu təzə qanunları bəyənmədim,negative
Mavi gözləri dənizi xatırladırdı,positive
Paxıl insanlar özlərini inkişaf elətdirə bilmirlər,negative
Şirindil qızdı,positive
Bu kişi çox acıdildi,negative
Körpə uşaqlar sevimli olur,positive
Ağlağan uşaqları sevmirəm,negative
Kənddə yetişən meyvələr çox vitaminlidir,positive
Onun qardaşı kələkbazdır,negative
Uşaqlarla vaxt keçirmək əyləncəlidir,positive
Tutqun havada gəzməyi sevmirəm,negative
Məhşur rejissorun çəkdiyi filmlərin çoxu dedektivdir,positive
naxələf övladdan xeyir gəlməz,negative
Bu mövzuda debat etmək maraqlıdır,positive
O övladlarının yanında üzüqqaradı,negative
Qızların əksəriyyəti çəhrayı donu bəyəndi,positive
yeni gələn qonşumuz qaşqabaqlıdır,negative
Atasının yanında üzüağdır,positive
Anasi çox şöhrətpərəstdir,negative
Onun ailəsi qohumculdur,positive
çox namərdsən,negative
Dostumun nənəsi üzüyumşaqdır,positive
Etdiyin hərəkət səviyyəsizdi,negative
Komandanın seçdiyi proyekt səviyyəlidi,positive
İş yoldaşım bacarıqsızdı,negative
qardaşım mərddir,positive
Əməliyyatdan təzə çıxdığım üçün çox gücsüzəm,negative
Nənəm qoçaqdır,positive
Onun arzuları əlçatmazdır,negative
Niyyəti safdır,positive
yola çıxmaq üçün hava əlverişsizdir,negative
Otağdakıların yarısı günahsız idi,positive
Çox mərhəmətsizdir,negative
etdiyi hərəkət təqdirəlayiqdir,positive
Vicdansızsan!,negative
Ana ürəyi həmişə mərhəmətli olur,positive
Xasiyyəti dözülməzdi,negative
Nişanlısının sürprizi onunn üçün  gözlənilməz və xoş oldu,positive
Nəvəm çox dəcəldi,negative
Qonşumuzun qızı səmimidi,positive
Səbinənin nəvəsi daha nadincdi,negative
Üst mərtəbədəki qonşunun oğlu yaraşaqlıdı,positive
Alt mərtəbədəki qonşunun oğlu yaraşıqsızdi,negative
Xasiyyəti mülayimdi,positive
Yüküm çox ağırdı ,negative
Hava günəşlidi,positive
Hərəkətləri mənə çox itici gəldi,negative
Bağçamız güllü-çiçəklidi,positive
Evləri sökükdü,negative
şagirdlərim ağıllıdı,positive
Binaları az qalır uçsun çünki çox köhnədi ,negative
Tələbələrim savadlıdı,positive
uşaqları ərköyündü,negative
Yeni müdirim mədəni və sivil biridi,positive
Onun övladı çox nankordu,negative
Qızımın üçüncü nişanlısı çox alicənabdır,positive
Oğlun mədəniyyətsizdir qızımı vermirəm,negative
Oğlum alisavadlıdı,positive
Səsin çox ciy-ciydi başıma düşdü,negative
Qızım incəbellidi,positive
Belə havada dərs oxumağa həvəssizəm,negative
İçdiyi kofe çox vaxt südlü və ballı olur,positive
Köhnə müdirim insafsız idi,negative
Qızı ali məktəbə girdiyi üçün çox sevinclidi,positive
Son zamanlar eşitdiyim xəbərlər hamısı üzücüdü,negative
Anam məni kimi qızı olduğuna görə çox xoşbəxtdir,positive
Bütün cəhdləri uğursuzdu,negative
Marketdəki işçilər bir az insaflıdı,positive
Vağzala vaxtında çata bilmədi deyə qəmgin idi,negative
Onu tanıdığım üçün şanslıyam,positive
Bunu yazmaq artıq bezdiricidir,negative
Mən onu tanıyandan bəri iradəlidi,positive
Başımın ağrısı şiddətli idi,negative
Aldığı yeni iş təklifi prestijlidir,positive
Çox dəyişkən xarakterlidi,negative
Onun məqsədləri hərtərəflidi,positive
Zarafatları əttökkəndi,negative
Məqsədləri genişdi,positive
Buranın insanları dar düşüncəlidi,negative
İndiki gənclər aktivdir,positive
İndiki yeniyetmələr beyni qandı,negative
Hər işimdə məsuliyyətliyəm,positive
Zəmanə tələbəri məsuliyyətsizdirlər,negative
Dostum təvazökardı,positive
Düşdüyü vəziyyət cansıxıcıdı,negative
Alma sulu və şirindi,positive
Meyvələr çürükdü,negative
sözlərin motivasiya edicidi,positive
Meyvələr kaldı,negative
Aldığı qablar bəzəklidi,positive
Dediyin sözlər qəlbqırıcıdı,negative
Çox  düşüncəlisən,positive
Konsert zamanı etdiyi rəqs gülünc idi,negative
dost dar gündə tanınar,positive
Mənə dərdli-dərdli baxdı,negative
Bayramda böyüklərinin əlindən öpdü,positive
Özünü bilə bilə alovlu atəşin içinə atdı,negative
neçə ildən sonra anası ilə möhkəmcə qucaqlaşdı,positive
Atası canidir,negative
O hələ də sevgiyə inanır,positive
Uşağın qarnı bark ağrıyırdı,negative
Hər şeyə rəğmən çətinliklərə sinə gərdi,positive
O atasını qocalar evinə qoydu,negative
Heç vaxt məqsədlərindən vaz keçmədi,positive
O bətnindəki körpəni doğurmağdan imtina etdi,negative
Sən ona aşiqsən,positive
Qonşudan daman su natəmiz idi,negative
Üzü nurlu idi,positive
Donuz əti haramdı,negative
Ürəyinə su sərpdi,positive
Ürəyim ondan ötrü xarabdı,negative
yaman günün ömrü az olar,positive
Allah bəlanı versin,negative
Həmişə üzünə qapı açılsın,positive
Mən hər kəsə güvənmirəm,negative
O vətəninə bağlıdı,positive
O həmişə kimdənsə asılıdı,negative
Oğlu əsgərlikdən qayıtdı,positive
Qaynar su ilə alini yandırdı,negative
qazandığı pullar halaldı,positive
Qadına şiddət olmaz,negative
Əhsən sənə!,positive
Uşaqları döymək qadağandır,negative
Afərin!,positive
Lənət olsun,negative
sağ-salamat gedin ,positive
Allah şeytana nəhlət eləsin,negative
Əsən qalın,positive
mən onu tapanda yetim və kimsəsiz idi,negative
Yetimlərə kömək etmək savabdı,positive
Yazdığı cavablar yanlış idi,negative
İngilis dilində səlist danışırdı,positive
Eşşək nə bilir zəfəran nədi,negative
Hazırladığı stol əsrarəngizdi,positive
Hərəkətləri ilə məni cin atına mindirdi,negative
Xalqımız qonaqpərvərdi,positive
uzağdan gələn səs ürpədicidi,negative
Gördüyümüz abidələr hamısı qədim və tarixidi,positive
Gecə eşitdiyim səs vahiməli idi,negative
Şəhərə təzə köçən bu tayfa istiqanlıdı,positive
Hər tərəf çirkab idi,negative
Qonşumuz söhbətcildi,positive
Köhnə qonşumuz qiybətcil idi,negative
Hər tərəf gül qoxuyur,positive
oğlan çox eqoistdir,negative
qız ünsiyyətcildi,positive
rədd ol burdan,negative
Xoş gəlmisiniz,positive
Çox mənfi fikirlidi,negative
Rəfiqəm müsbət fikirlidi,positive
Aldığın çiçəklər solğun idi,negative
Azərbaycan çiçəklənən respublikadı,positive
Arzularina çatmadı,negative
Ümidlərimi doğrultdu,positive
Zəlzəldən sonra ev uçuq qaldı,negative
Etdikləri normal idi,positive
Hərəktləri anormal görünürdü,negative
Yeri rahat idi,positive
Yatdığı yer narahat idi,negative
Seçim etmək üçün azad idi,positive
Əlini iti bıçaqla kəsdi,negative
Səhnədə sərbəst idi,positive
Xəstə əməliyyat masasında öldü,negative
Etirafı ederkən cəsur idi,positive
Uşaq yıxıldı və burnu qanadı,negative
İşcil biri olduğunu görüb işə qəbul etdilər,positive
Futbol oynayarkən ayağını zədəlidi,negative
Suyu soyuducadan indicə çıxartdığı üçün sərin idi,positive
Erkən yaşdan siqarət çəkirdi,negative
Nənə yetimin başını sığalladı,positive
Zalım uşaq itə təpik vurdu,negative
Bu il məhsul bol oldu,positive
Top oynayarkən qolunu sındırdı,negative
Atası təmkinlidi,positive
Düşüncılıri bədniyyətlidir,negative
Vicdanlıdı,positive
O qarabaqdır,negative
Danışdıqları məntiqli idi,positive
Məntiqsiz cümlələr qurur,negative
Doğum günü təmtəraqlı keçdi,positive
İkiüzlüdür,negative
Nənəm cah-cəlal içindədi,positive
Biliksiz insan meyvəsiz ağaca bənzər,negative
Səsi yüksək yerlərdən gəlsin,positive
bu il hər şey qıt idi,negative
Qəbri nur içində idi,positive
Hərəktləri şüursuz edirdi,negative
Universiteti bitirdikdən sonra firavan yaşadı,positive
Sevgi etirafını etdikdən sonra utandı,negative
Jurilər çıxışmdan məmnun qaldılar,positive
Pərişan oldu,negative
Qürurludu,positive
Həlak oldu,negative
Qız evində toy idi,positive
işıqlar söndü,negative
Ailəmizdə bayram idi,positive
Dərsdə yuxulu idi,negative
Oğlu diplom aldığı üçün anası şad idi,positive
Əllərim soyuqdan dondu,negative
Əhvalı şən idi,positive
Nigaran idi,negative
Bügun məktəbdə şənlik idi,positive
Bədbin idi,negative
Dostlar yenidən barışdı,positive
Qürursuzdu,negative
Namuslu qadındı,positive
O həmişə deyirdi ki əmisi şəratandı,negative
Qeyrətli oğuldu,positive
O yalanlarıyla hamını dolandırırdı,negative
Qüsursuz görünürdü,positive
Qəpiyə güllə atırdı,negative
Özünə yeni ev tikdirdi,positive
Şərəfsiz biri idi,negative
Uşaq səssiz idi,positive
həyəcandan səsi titrədi,negative
çoxdankı küsülülər arasında sülh yarandı,positive
Səsi tez-tez batırdı,negative
Mətnin məzmunu zəngin idi,positive
Atasından küsmüşdü,negative
nəvəm sakitdi,positive
Yazığ uşağın dilində qüsur var idi,negative
Əsgərlərdən təzə xəbər var,positive
yazdıqları saxta idi,negative
Ailəsi kasıb idi ,positive
silahı qorumayan binamusdu,negative
yay fəsli olmasına baxmayaraq hava sərin idi,positive
Çox biqeyrət adamdı,negative
Gülərüz qızdı,positive
hamıda həmişə nəsə nöqsan axtarır,negative
iradədən mətindi,positive
Ögey anası şüvəndi,negative
Beli incə idi,positive
Dava salıb qızın saçını yoldu,negative
dərisi hamardı,positive
neçə vaxtdı ondan xəbər yoxdu,negative
su saf idi,positive
Onu görən kimi dilim tutuldu,negative
Əsgər keşikdə ayıq-sayıq idi,positive
Ağac qırıdı,negative
Ehtiyatlı davrandı,positive
mədəsini soyuqlatmışdı deyə yeməyi yeyən kimi qusdu,negative
yeni yaradılmış elektron lüğətlər çoxdilli idi,positive
əməliyyatdan sağ çıxmadı,negative
yediyi qidalar faydalıdı,positive
qardaşları davakar idi,negative
Tələbələr hüquq tətbiqedici fəaliyyətə cəlb olundular,positive
dalaşqan uşaqdı,negative
Uşaqlıqda daha zəkalı idim,positive
yarası dərin idi,negative
Əxlaqlı qızdı,positive
kövrəkdi,negative
Alınan məhsullar keyfiyyətli idi,positive
ətraf çəmənsiz idi,negative
Yemək doyumlu idi,positive
yaralı quş can verdi,negative
Uşaq tox idi,positive
O şəhərə təzə gəldiyi üçün qərib idi,negative
Dostum səxavətlidi,positive
mənə yad kimi davranırdı,negative
Dostum mənə sadiqdir,positive
tanıdığım vaxtdan bəri hiss edirdim ki çox əclaf adamdı,negative
Xeyirxah birisidi,positive
Axır vaxtlar yaman pulsuz idi,negative
Qənaətcildi,positive
Bədxərcdi,negative
Ümidli idi,positive
Şahın nökəri dələduz idi,negative
El arasında sözükeçən idi,positive
yaxınları ona daha dözə bilmirdilər səbəbi zəkasız olması idi,negative
Mötəbər biridi,positive
Əxlaqsızdı,negative
Vəkillilik sivil ölkələrdə çoxtəminatlı hesab olunur,positive
Ailə aztəminatlı idi,negative
Tanışlar içində izzətlidir,positive
Yeni gələn mallar keyfiyyətsizdi,negative
Köhnə dekanımız möhtərəm biri idi,positive
Uşaq ac idi,negative
həyalı qızdı,positive
Hiyləgərdi,negative
başıaşağı uşağdı,positive
Məkrlidi,negative
İmtahana düşən suallar sadə idi,positive
Xəyanətkardı,negative
Nəcib birisidi,positive
Sirr saxlaya bilmirdi ağzıcırıq idi,negative
O ağızdan möhkəmdi,positive
Ümidsiz idi,negative
Kübar insandı,positive
həyasızdı,negative
Bacım mənim üçün çox əzizdi,positive
Dostu nanəcibdi,negative
Layiqli övladdı,positive
Bu qız nəslimiz üçün layiqsizdir,negative
Ləyaqətli insandı,positive
Ləyaqətsiz insandı,negative
gördüyü iş tam idi,positive
gördüyü iş natamam idi,negative
Çörəyi stolun üstünə qoyanda bütöv idi,positive
Xatirələri yarımçıq qalmışdı,negative
alternativ seçimlər qoymuşdu ,positive
Söylədikləri cəfəngiyatdı,negative
Tərəvəzlər təravətli idi,positive
O ancaq sarsaqlıq edirdi,negative
Adam xəstə olmayanda gümrah olur,positive
O yalnızdı,negative
 Qız cazibəlidi,positive
Evdə tək idi,negative
Bina hündür idi,positive
Qız çox tənhadı,negative
İsrafcıl biridi,positive
Yalqızdı,negative
Ağac uzunömürlüdür,positive
Bazar günü olduğu üçün həmin məkan qapalı idi ,negative
Sadəlik dizaynı  daha da  çoxtərəfli edir,positive
filminn sonu hüznlü idi,negative
Minimalistik  yanaşmadır,positive
Qonşunun balaca oğlu bağçamızdakı çiçəkləri qoparırdı,negative
Mahnının sözləri yaddanqalan idi,positive
Üstümə eşşək kimi qışqırırdı,negative
Bu hədiyyə mənim üçün dəyərlidir ,positive
Uşaq dayanmadan qulağımın dibində bağırırdı,negative
qalibiyyət qazandı,positive
Mətanət gülü iyləyib bayıldı,negative
qabiliyyətlidi,positive
Mahir gəvəzə idi,negative
Komandanın lideridi,positive
Oğlan boşboğazdı,negative
Adətən etdiyi tənəffüs hərəkətləri bərpaedicidi,positive
Kifayət qədər məmulatları olmadığı üçün tikdikləri bina kiçik oldu,negative
Yaradıcıdı,positive
heyva acı idi,negative
Quran müqəddəs kitabdı,positive
çay çox tünd idi,negative
Ona sevgim sonsuzdur,positive
yemək zəhər kimi idi,negative
əzabsız işdir,positive
Kefim qaçdı,negative
Qoruyucu eynək aldı,positive
Kefimə soğan doğradı,negative
kəndir sıx bağlanmışdı,positive
Dəyərsiz əşyadı,negative
İşi əziyyətsiz bitirdi,positive
Qabiliyyətsizdir,negative
güvənli internetdi,positive
Məğlub oldu,negative
təsirlidi,positive
Qudası çox inadkardı,negative
Təhsilli gənclərdi,positive
Eşqi qarşılıqsız idi,negative
Səbətə bolluca alma yığdı,positive
Danışığı kinayəlidir,negative
Qız mələk kimidi,positive
Qardaşım tələskəndir,negative
Sən Allahın bir lütfüsən,positive
Əzablı yoldur,negative
bu işdə işləməyə həvəskar uşaqların sayı artırdı,positive
Dedikləri əbəs yerə idi,negative
Sözləri ağlabatan idi,positive
Qapı kilidli idi,negative
 Mərhum yaxşı adam idi,positive
təsirsizdi,negative
Möminin ehtiyaclı olması onu Allaha daha da yaxınlaşdırır,positive
Orda yaşayan uşaqların çoxu təhsilsizdir,negative
Bu məsələ olduqca önəmlidir,positive
Məcburi köçkündür,negative
İffətli qadındır,positive
nəhəng qayalara çırpılaraq başını yardı,negative
onu gənc yaşlarında itirməsi  raqifin ürəyində ancaq döyüş ruhunu ucaldırdı,positive
Əkdiyi bütün göyərtilər susuzluğa görə məhv oldu,negative
Göydələnlər əzəmətli görünürdü,positive
Elə danışmaq önəmsizdir,negative
Ona eşqim maksimumdur,positive
səfeh-səfeh danışırdı,negative
Ona qəzəbim minimumdur,positive
Ağıldan kəmdir,negative
Külək saçlarımı oxşayırdı,positive
xroniki xəstədir,negative
O bütün gün balaca balasını nazladı,positive
Başına gələnlər dəhşətli idi,negative
O girişkəndi,positive
Daşların üstündən keçəndə paltarı cırıldı,negative
Fədai müəllimin dərsi əhəmiyyətlidir,positive
əsəbləri gərgin idi,negative
Yalnız klassik musiqiləri dinləyir,positive
hava tufanlıdır,negative
məclisdə çeşid-çeşid yeməklər təqdim olundu,positive
qaçqındırlar,negative
məsləhətli filmdir,positive
yerlərindən didərgin düşmüşdülər,negative
öyüd-nəsihət dinləmək lazımdır,positive
şəkillər köhnə olduğu üçün saralmışdı,negative
sönməz bir məşəldi,positive
universitet dərsləri əhəmiyyətsizdir,negative
əbədi aşiqlər ölməz,positive
Başı bəlalıdır,negative
şair könlüm rübabını eşq ilə çaldı,positive
seks sözü bizdə senzuralı sözlər siyahısındadır,negative
atatürkün ilk bioqrafiyası olan Bozqurdu ilk dəfə Azərbaycan dilində və senzurasız təqdim edir.,positive
ərizə yazıb işdən istefa etdi,negative
zamanla bütün yaralar sağalar,positive
siqaret ağciyərin düşmənidir,negative
Səsini eşitmək belə yetərlidir,positive
qurd kimi ac idim,negative
əlimi uzatsam əllisi,positive
başverənlər zamansız oldu,negative
gözün işığa gəlsin,positive
başımın ətini yedi,negative
Allah ölənlərinə rəhmət eləsin,positive
hər şey üçün çox gec idi,negative
Allah işini avand eləsin,positive
gözlərim yaşla doldu,negative
Axırın xeyir olsun,positive
sözləri ilə ciyərimi sökdü,negative
oğullu-uşaqlı  nəvəli-nəticəli olasan,positive
yorğun idim,negative
qohumluqdan əskik olmayasan,positive
o tamamilə çılpaq idi,negative
nə yoğurdum nə yapdım hazırca kökə tapdım,positive
"ağzından çıxsın, qoynuna dolsun",negative
" daha çox savab iş görməlisən ki, alqış qazanasan",positive
üstünə gün doğmasın,negative
seminarlarda iştirak etmək mütləqdir,positive
yalın buza  dönsün,negative
qız qaldığca qızıla dönər,positive
qara yellər qapından əssin,negative
əl tutmaq əlidən qalıb,positive
pazı pazla çıxararlar,negative
əl sizdən ətək bizdən,positive
öləndə üstündə su tapılmasın,negative
evləri təzə təmirlidir,positive
əməyin suya dönsün,negative
tənbehedici-rəhbər hər şeylə maraqlanır,positive
külü qoyum təpənə,negative
o ev işlərini layiqincə görürdü,positive
Neçə gündür təlaş içində vurnuxub durur,negative
şair yazdığı şeirlərlə xalqı mətanətli olmağa çağırırdı,positive
isinmədim istisinə kor oldum tüstüsünə,negative
altun bilərzikləri məni uzaqdan cəlb etdi,positive
qarğış yiyəsi oldu,negative
"bir qızın ancaq bilgidir, təmizlikdir ziynəti",positive
Səhərdən ağlayıb sızlayır,negative
 hələ qabağda işıqlı sabahlarımız var,positive
tənhalıqda boğuluram,negative
xoş gəldin gülüm suyu qurumuş dəryama!,positive
kitabxana sakit yerdir,positive
səs-küylü yerlərdə dərs oxumaq olmur,negative
texnologiya inkişaf edir,positive
müəllim uşaqların çağırışlarına əhəmiyyət vermədən sinifi tərk etdi,negative
adil davrandı,positive
ana qızını acıladı,negative
el içində ad-san qazanmışdı,positive
aciz idi,negative
gözütoxdur,positive
açarı itirmişdi,negative
əliaçıqdır,positive
acımasızdır,negative
axıcı nitqə sahibdir,positive
üzünü turşutdu,negative
alicənab insandır,positive
ağalıq edirdi,negative
alqışların səsi hər yerə yayıldı,positive
hər şey alt-üst oldu,negative
əziyyətləri yerdə qalmadı,positive
amansızcasına qətlə yetirdi,negative
soyuq olmasın deyə altdan-üstdən geyinmişdi,positive
onda bir anormallıq var idi,negative
analı-atalı böyüsün,positive
təzyiqi enmişdi,negative
şokolad yedikdən sonra təzyiqi düzəldi,positive
aramsız yağış daşqına səbəb oldu,negative
şokolad xoşbəxtlik hormonlarını artırır,positive
ürəyi dayandı,negative
bu uşaqlar çox tərbiyəlidir,positive
ictimai yerlərdə özünü düzgün aparmaq lazımdır,positive
o mənalı sözlər danışır,positive
o evsizdir,negative
o qız heyranedici görünür,positive
möcüzəvi şəkildə gözdən itdi,positive
o dərmanları vaxtlı-vaxtında içirdi,positive
özünü pis hiss edirdi,negative
cinayətkar ələ keçirildi,negative
törədilmiş dəhşətli cinayətə görə o da şüphəlilərdən biri idi,negative
zəlzələdə yaralananların sayı çox idi,negative
tüstüdən göz gözü görmürdü,negative
yağmurlu hava şəraitinə görə səfər təxirə salındı ,negative
xəstənin vəziyyəti ağır idi,negative
allahdan ümid kəsilməz,positive
təyyarədə telefondan istifadə etmək qadağandır,negative
dolu yağışı maşınlara ziyan vurmuşdu,negative
şaxta əkinçilərin səpinlərinə ziyan vurmuşdu,negative
sunami çox təhlükəlidir,negative
gigiyena qaydalarına əməl etmək lazımdır,positive
acgöz kimi yeməklərin üstünə cumdu,negative
ac-susuz yollara düşdü,negative
əsəbi olduğu üçün acıqlı danışırdı,negative
şiddət göstərmək acizlikdir,negative
mən susuz çöl heyvanlarına su verdim,positive
afərin cavabların hamısı doğrudur,positive
ağbirçək cavanlara nəsihət verirdi,positive
böyüyün sözünə qulaq asmaq lazımdır,positive
yol-hərəkət qaydalarına əməl etmək lazımdır,positive
o axıcı nitqi ilə hamının diqqətini öz üstünə çəkdi,positive
hər tərəf ağlı-qırmızılı güllərlə bəzədilmişdi,positive
məşhur şəhidlərə etdiyi hörmətsizliyə görə hər kəs tərəfindən təndiq olunurdu,negative
texnologiyanin inkişafının müsbət cəhətləri ilə yanaşı mənfi tərəfləri də var,negative
son zamanlarda ailəvi yeməklərin sayı azalmışdır,negative
sürücü yolun ortasında qalmış bala pişiyi götürüb daha təhlükəsiz yerə qoydu,positive
uzun müddət baxılmamış bağı alaq otları basmışdı,negative
uşaq dondurması yerə düşmüşdü deyə məyus olmuşdu,negative
yayda istidən meşədə yanğın başlamışdı,negative
o alkoqol aludəçisi olmuşdu,negative
idmanla məşğul olmaq sağlamlıqdır,positive
multifilmlər uşaqların psixologiyasının inkişaf etmısinə kömək edir,positive
quşların ölümü məni çox sarsıtmışdı,negative
qu quşu al qana boyanmışdı,negative
ancaq möminlər cəhənnəmə girdikləri zaman cəhənnəm atəşi onları yandırmayacaqdır,positive
səhər yaranan tıxaca görə imtahana gecikdim,negative
deyib-gülən insanlar ətrafa pozitivlik yayır,positive
bakteriyalar bəzi qida məhsullarını yararsız vəziyyətə salır,negative
tamaşaçılar foksun sirlərini anlamaqda çətinlik çəkirlər,negative
onun dedikləri həqiqət idi,positive
başımı etiraz əlaməti olaraq aşağı saldım,negative
müəllim yerimə keçməyə icazə verdi,positive
rolunu yaxşı oynayacağına mən təmamilə əminəm,positive
kodda bir xəta olduğu üçün istədiyimiz nəticəni ala bilmirdik,negative
yanlış anlaşılmaya görə müəllim tələbənin imtahan balını kəsmişdi,negative
